"SalesOrderID","OrderDate","OrderQty","UnitPrice","StandardCost","ProductName","TerritoryName","CountryRegionCode","ProductCategory"
45266,2/1/2010 0:00:00,2,$2024.99,$1898.09,"Mountain-100 Black, 44","Central","US","Mountain Bikes"
45266,2/1/2010 0:00:00,3,$2039.99,$1912.15,"Mountain-100 Silver, 48","Central","US","Mountain Bikes"
45266,2/1/2010 0:00:00,2,$2024.99,$1898.09,"Mountain-100 Black, 38","Central","US","Mountain Bikes"
45266,2/1/2010 0:00:00,1,$714.70,$739.04,"HL Mountain Frame - Black, 42","Central","US","Mountain Frames"
45266,2/1/2010 0:00:00,2,$2024.99,$1898.09,"Mountain-100 Black, 48","Central","US","Mountain Bikes"
45266,2/1/2010 0:00:00,2,$2039.99,$1912.15,"Mountain-100 Silver, 42","Central","US","Mountain Bikes"
45266,2/1/2010 0:00:00,2,$722.59,$747.20,"HL Mountain Frame - Silver, 38","Central","US","Mountain Frames"
45267,2/1/2010 0:00:00,1,$419.46,$486.71,"Road-650 Red, 44","Northwest","US","Road Bikes"
45267,2/1/2010 0:00:00,1,$419.46,$486.71,"Road-650 Black, 52","Northwest","US","Road Bikes"
45267,2/1/2010 0:00:00,3,$874.79,$884.71,"Road-450 Red, 52","Northwest","US","Road Bikes"
45268,2/1/2010 0:00:00,1,$419.46,$486.71,"Road-650 Black, 60","Canada","CA","Road Bikes"
45268,2/1/2010 0:00:00,1,$419.46,$486.71,"Road-650 Red, 60","Canada","CA","Road Bikes"
45269,2/1/2010 0:00:00,1,$2024.99,$1898.09,"Mountain-100 Black, 38","Canada","CA","Mountain Bikes"
45270,2/1/2010 0:00:00,2,$419.46,$486.71,"Road-650 Black, 60","Southeast","US","Road Bikes"
45270,2/1/2010 0:00:00,2,$5.19,$6.92,"AWC Logo Cap","Southeast","US","Caps"
45270,2/1/2010 0:00:00,1,$419.46,$486.71,"Road-650 Red, 48","Southeast","US","Road Bikes"
45270,2/1/2010 0:00:00,1,$419.46,$486.71,"Road-650 Black, 58","Southeast","US","Road Bikes"
45270,2/1/2010 0:00:00,3,$2146.96,$2171.29,"Road-150 Red, 62","Southeast","US","Road Bikes"
45270,2/1/2010 0:00:00,1,$419.46,$486.71,"Road-650 Black, 62","Southeast","US","Road Bikes"
45270,2/1/2010 0:00:00,1,$419.46,$486.71,"Road-650 Red, 52","Southeast","US","Road Bikes"
45270,2/1/2010 0:00:00,2,$419.46,$486.71,"Road-650 Red, 44","Southeast","US","Road Bikes"
45270,2/1/2010 0:00:00,1,$419.46,$486.71,"Road-650 Black, 48","Southeast","US","Road Bikes"
45270,2/1/2010 0:00:00,2,$28.84,$38.49,"Long-Sleeve Logo Jersey, L","Southeast","US","Jerseys"
45270,2/1/2010 0:00:00,1,$874.79,$884.71,"Road-450 Red, 48","Southeast","US","Road Bikes"
45270,2/1/2010 0:00:00,5,$419.46,$486.71,"Road-650 Black, 44","Southeast","US","Road Bikes"
45270,2/1/2010 0:00:00,4,$419.46,$486.71,"Road-650 Red, 62","Southeast","US","Road Bikes"
45270,2/1/2010 0:00:00,1,$874.79,$884.71,"Road-450 Red, 60","Southeast","US","Road Bikes"
45270,2/1/2010 0:00:00,1,$2146.96,$2171.29,"Road-150 Red, 56","Southeast","US","Road Bikes"
45270,2/1/2010 0:00:00,1,$2146.96,$2171.29,"Road-150 Red, 48","Southeast","US","Road Bikes"
45270,2/1/2010 0:00:00,2,$2146.96,$2171.29,"Road-150 Red, 52","Southeast","US","Road Bikes"
45270,2/1/2010 0:00:00,5,$874.79,$884.71,"Road-450 Red, 52","Southeast","US","Road Bikes"
45271,2/1/2010 0:00:00,1,$419.46,$486.71,"Road-650 Red, 60","Northeast","US","Road Bikes"
45271,2/1/2010 0:00:00,1,$419.46,$486.71,"Road-650 Black, 58","Northeast","US","Road Bikes"
45271,2/1/2010 0:00:00,3,$419.46,$486.71,"Road-650 Red, 62","Northeast","US","Road Bikes"
45271,2/1/2010 0:00:00,3,$419.46,$486.71,"Road-650 Red, 44","Northeast","US","Road Bikes"
45271,2/1/2010 0:00:00,3,$874.79,$884.71,"Road-450 Red, 52","Northeast","US","Road Bikes"
45272,2/1/2010 0:00:00,3,$419.46,$486.71,"Road-650 Black, 58","Canada","CA","Road Bikes"
45272,2/1/2010 0:00:00,1,$419.46,$486.71,"Road-650 Red, 62","Canada","CA","Road Bikes"
45272,2/1/2010 0:00:00,4,$419.46,$486.71,"Road-650 Red, 60","Canada","CA","Road Bikes"
45272,2/1/2010 0:00:00,1,$419.46,$486.71,"Road-650 Black, 52","Canada","CA","Road Bikes"
45273,2/1/2010 0:00:00,3,$2024.99,$1898.09,"Mountain-100 Black, 42","Northwest","US","Mountain Bikes"
45273,2/1/2010 0:00:00,3,$2039.99,$1912.15,"Mountain-100 Silver, 42","Northwest","US","Mountain Bikes"
45273,2/1/2010 0:00:00,2,$2024.99,$1898.09,"Mountain-100 Black, 38","Northwest","US","Mountain Bikes"
45273,2/1/2010 0:00:00,6,$2024.99,$1898.09,"Mountain-100 Black, 44","Northwest","US","Mountain Bikes"
45273,2/1/2010 0:00:00,2,$2039.99,$1912.15,"Mountain-100 Silver, 38","Northwest","US","Mountain Bikes"
45273,2/1/2010 0:00:00,2,$2039.99,$1912.15,"Mountain-100 Silver, 48","Northwest","US","Mountain Bikes"
45273,2/1/2010 0:00:00,2,$2039.99,$1912.15,"Mountain-100 Silver, 44","Northwest","US","Mountain Bikes"
45274,2/1/2010 0:00:00,5,$2024.99,$1898.09,"Mountain-100 Black, 44","Northwest","US","Mountain Bikes"
45274,2/1/2010 0:00:00,7,$2024.99,$1898.09,"Mountain-100 Black, 48","Northwest","US","Mountain Bikes"
45274,2/1/2010 0:00:00,2,$2039.99,$1912.15,"Mountain-100 Silver, 38","Northwest","US","Mountain Bikes"
45274,2/1/2010 0:00:00,4,$2024.99,$1898.09,"Mountain-100 Black, 42","Northwest","US","Mountain Bikes"
45274,2/1/2010 0:00:00,2,$2039.99,$1912.15,"Mountain-100 Silver, 44","Northwest","US","Mountain Bikes"
45274,2/1/2010 0:00:00,1,$28.84,$38.49,"Long-Sleeve Logo Jersey, L","Northwest","US","Jerseys"
45274,2/1/2010 0:00:00,9,$2024.99,$1898.09,"Mountain-100 Black, 38","Northwest","US","Mountain Bikes"
45274,2/1/2010 0:00:00,4,$2039.99,$1912.15,"Mountain-100 Silver, 42","Northwest","US","Mountain Bikes"
45274,2/1/2010 0:00:00,1,$20.19,$13.09,"Sport-100 Helmet, Blue","Northwest","US","Helmets"
45275,2/1/2010 0:00:00,4,$419.46,$486.71,"Road-650 Red, 48","Southeast","US","Road Bikes"
45275,2/1/2010 0:00:00,5,$419.46,$486.71,"Road-650 Red, 44","Southeast","US","Road Bikes"
45275,2/1/2010 0:00:00,1,$874.79,$884.71,"Road-450 Red, 52","Southeast","US","Road Bikes"
45275,2/1/2010 0:00:00,5,$419.46,$486.71,"Road-650 Black, 52","Southeast","US","Road Bikes"
45275,2/1/2010 0:00:00,1,$419.46,$486.71,"Road-650 Red, 60","Southeast","US","Road Bikes"
45276,2/1/2010 0:00:00,1,$2024.99,$1898.09,"Mountain-100 Black, 42","Canada","CA","Mountain Bikes"
45276,2/1/2010 0:00:00,1,$2024.99,$1898.09,"Mountain-100 Black, 48","Canada","CA","Mountain Bikes"
45276,2/1/2010 0:00:00,1,$2039.99,$1912.15,"Mountain-100 Silver, 42","Canada","CA","Mountain Bikes"
45277,2/1/2010 0:00:00,1,$2146.96,$2171.29,"Road-150 Red, 52","Northeast","US","Road Bikes"
45277,2/1/2010 0:00:00,4,$419.46,$486.71,"Road-650 Red, 52","Northeast","US","Road Bikes"
45277,2/1/2010 0:00:00,3,$874.79,$884.71,"Road-450 Red, 60","Northeast","US","Road Bikes"
45277,2/1/2010 0:00:00,1,$874.79,$884.71,"Road-450 Red, 58","Northeast","US","Road Bikes"
45277,2/1/2010 0:00:00,1,$2146.96,$2171.29,"Road-150 Red, 44","Northeast","US","Road Bikes"
45277,2/1/2010 0:00:00,1,$874.79,$884.71,"Road-450 Red, 48","Northeast","US","Road Bikes"
45277,2/1/2010 0:00:00,1,$419.46,$486.71,"Road-650 Black, 62","Northeast","US","Road Bikes"
45277,2/1/2010 0:00:00,3,$419.46,$486.71,"Road-650 Black, 48","Northeast","US","Road Bikes"
45277,2/1/2010 0:00:00,1,$419.46,$486.71,"Road-650 Black, 44","Northeast","US","Road Bikes"
45277,2/1/2010 0:00:00,1,$419.46,$486.71,"Road-650 Red, 60","Northeast","US","Road Bikes"
45277,2/1/2010 0:00:00,2,$2146.96,$2171.29,"Road-150 Red, 62","Northeast","US","Road Bikes"
45277,2/1/2010 0:00:00,5,$419.46,$486.71,"Road-650 Red, 62","Northeast","US","Road Bikes"
45277,2/1/2010 0:00:00,2,$419.46,$486.71,"Road-650 Black, 58","Northeast","US","Road Bikes"
45277,2/1/2010 0:00:00,1,$2146.96,$2171.29,"Road-150 Red, 56","Northeast","US","Road Bikes"
45277,2/1/2010 0:00:00,3,$5.19,$6.92,"AWC Logo Cap","Northeast","US","Caps"
